k32r,-0.060333389249656
k34r,0.03603084831288112
k36r,0.044881308998829264
k41r,0.07380413942284164
k42r,0.04408234472486806
k43r,0.0141734921218787
k46r,0.04487475763574319
k47r,0.02838157031882382
k48r,0.02949201982455447
k51r,0.07399881400082656
k56r,-3.4998830017229454
k59r,3.5515763475647026
k60r,0.04258861943931883
k62r,0.042709720843551714
k66r,0.08658311690019285
k70r,0.0676898574537254
k73r,0.07550494447382543
k74r,0.02301771642766288
k75r,0.02429087668795005
k76r,0.03158759222423795
k81r,0.00012559047888122785
k82r,0.03272327198453015
k89r,0.022020254473275064
k90r,0.041171200358230846
k91r,0.07191085263778536
